id,name,symbol,rank,price_usd,price_btc,24h_volume_usd,market_cap_usd,available_supply,total_supply,max_supply,percent_change_1h,percent_change_24h,percent_change_7d,last_updated,current_ind
bitcoin,Bitcoin,BTC,1,8790.31,1.0,5092970000.0,148664140055,16912275.0,16912275.0,21000000.0,-1.06,-7.09,-21.86,1520754866,1
ethereum,Ethereum,ETH,2,690.554,0.0793048,1466680000.0,67754428935.0,98116047.0,98116047.0,,-0.96,-6.38,-18.66,1520754852,1
ripple,Ripple,XRP,3,0.79565,0.00009137,396183000.0,31103515353.0,39091956706.0,99992520283.0,100000000000,-1.46,-6.27,-11.9,1520754870,1
bitcoin-cash,Bitcoin Cash,BCH,4,1003.01,0.115188,364678000.0,17062554164.0,17011350.0,17011350.0,21000000.0,-1.2,-5.97,-19.36,1520754852,1
litecoin,Litecoin,LTC,5,179.698,0.0206369,617760000.0,9986818373.0,55575568.0,55575568.0,84000000.0,-1.32,-6.15,-13.64,1520754841,1
neo,NEO,NEO,6,85.2943,0.00979539,107491000.0,5544129500.0,65000000.0,100000000.0,100000000.0,-0.64,-8.46,-28.4,1520754847,1
stellar,Stellar,XLM,7,0.290466,0.00003336,20745600.0,5373161841.0,18498419232.0,103748462367,,-1.11,-8.33,-17.7,1520754843,1
cardano,Cardano,ADA,8,0.204709,0.00002351,108162000.0,5307504683.0,25927070538.0,31112483745.0,45000000000.0,-1.1,-8.13,-29.43,1520754854,1
eos,EOS,EOS,9,5.81549,0.00066786,288510000.0,4187679938.0,720090644.0,900000000.0,1000000000.0,-1.29,-7.85,-26.17,1520754851,1
monero,Monero,XMR,10,256.866,0.0294991,72460300.0,4061385053.0,15811299.0,15811299.0,,-1.17,-12.55,-25.57,1520754842,1
dash,Dash,DASH,11,481.901,0.0553426,87087200.0,3825876503.0,7939134.0,7939134.0,18900000.0,-0.3,-7.97,-19.64,1520754842,1
iota,IOTA,MIOTA,12,1.28124,0.00014714,29544300.0,3561245380.0,2779530283.0,2779530283.0,2779530283.0,-3.56,-12.2,-30.96,1520754850,1
nem,NEM,XEM,13,0.343186,0.00003941,21102800.0,3088674000.0,8999999999.0,8999999999.0,,-0.55,-3.14,-4.21,1520754844,1
tron,TRON,TRX,14,0.0348783,0.00000401,243692000.0,2293185182.0,65748192475.0,100000000000,,-1.3,-7.86,-27.12,1520754853,1
tether,Tether,USDT,15,1.00307,0.00011519,2128150000.0,2223947436.0,2217140814.0,2280109970.0,,0.16,0.04,0.23,1520754845,1
ethereum-classic,Ethereum Classic,ETC,16,20.3622,0.00233844,257572000.0,2044895600.0,100426064.0,100426064.0,,-1.32,-10.05,-32.24,1520754847,1
