id,name,symbol,rank,price_usd,price_btc,24h_volume_usd,market_cap_usd,available_supply,total_supply,max_supply,percent_change_1h,percent_change_24h,percent_change_7d,last_updated,__extra_
bitcoin,Bitcoin,BTC,1,10611.5,1.0,7095550000.0,179386208400,16904887.0,16904887.0,21000000.0,0.32,-6.32,-1.41,1520410466,
ethereum,Ethereum,ETH,2,788.91,0.0746398,1892730000.0,77340632292.0,98034798.0,98034798.0,,-0.13,-7.08,-10.03,1520410452,
ripple,Ripple,XRP,3,0.909171,0.00008618,871195000.0,35541273370.0,39091956706.0,99992520283.0,100000000000,0.78,-6.77,-2.63,1520410741,
bitcoin-cash,Bitcoin Cash,BCH,4,1164.71,0.110195,432498000.0,19805005459.0,17004238.0,17004238.0,21000000.0,-0.14,-6.8,-6.15,1520410451,
litecoin,Litecoin,LTC,5,192.458,0.0182087,667967000.0,10685004642.0,55518631.0,55518631.0,84000000.0,0.29,-7.32,-10.65,1520410441,
neo,NEO,NEO,6,107.656,0.0101854,234949000.0,6997640000.0,65000000.0,100000000.0,100000000.0,1.08,-4.6,-22.08,1520410447,
cardano,Cardano,ADA,7,0.268907,0.00002544,120995000.0,6971970757.0,25927070538.0,31112483745.0,45000000000.0,-0.88,-10.26,-17.18,1520410453,
stellar,Stellar,XLM,8,0.327598,0.00003099,39056100.0,6050202806.0,18468375282.0,103748462367,,-0.13,-9.45,-6.86,1520410443,
monero,Monero,XMR,9,345.476,0.032747,103759000.0,5457539684.0,15797160.0,15797160.0,,0.73,-5.32,16.14,1520410742,
eos,EOS,EOS,10,6.94134,0.00065673,314959000.0,4946649419.0,712636093.0,900000000.0,1000000000.0,-0.02,-12.3,-21.27,1520410451,
iota,IOTA,MIOTA,11,1.63342,0.00015454,64322900.0,4540140355.0,2779530283.0,2779530283.0,2779530283.0,1.72,-13.26,-16.5,1520410450,
dash,Dash,DASH,12,559.329,0.0529188,123596000.0,4436208852.0,7931305.0,7931305.0,18900000.0,0.76,-6.43,-7.7,1520410441,
nem,NEM,XEM,13,0.326959,0.00003093,22485600.0,2942631000.0,8999999999.0,8999999999.0,,-0.06,-8.03,-20.41,1520410444,
tron,TRON,TRX,14,0.0428876,0.00000406,243441000.0,2819782180.0,65748192475.0,100000000000,,0.05,-8.42,1.4,1520410453,
ethereum-classic,Ethereum Classic,ETC,15,23.9209,0.00226319,398329000.0,2400154166.0,100337118.0,100337118.0,,0.81,-11.15,-31.67,1520410446,
tether,Tether,USDT,16,1.00124,0.00009473,2609770000.0,2219890068.0,2217140814.0,2280109970.0,,-0.16,0.16,0.05,1520410445,
vechain,VeChain,VEN,17,4.63601,0.00043862,139668000.0,2203132964.0,475221788.0,873378637.0,,-1.83,1.32,-9.34,1520410453,
qtum,Qtum,QTUM,18,23.6562,0.00223814,132856000.0,1748921223.0,73930776.0,100430776.0,,-0.72,-10.49,-13.67,1520410450,
nano,Nano,NANO,19,12.6904,0.00120065,61000500.0,1690974089.0,133248289.0,133248289.0,133248290.0,-0.82,-10.54,-12.39,1520410448,
lisk,Lisk,LSK,20,16.4146,0.00155301,28905800.0,1683439320.0,102557438.0,118774084.0,,-0.2,-9.48,-15.69,1520410446,
bitcoin-gold,Bitcoin Gold,BTG,21,99.757,0.00943815,26845100.0,1682449049.0,16865474.0,16965474.0,21000000.0,0.04,-8.62,-15.44,1520410454,
omisego,OmiseGO,OMG,22,15.9033,0.00150463,45628300.0,1622813313.0,102042552.0,140245398.0,,-0.33,-6.15,-21.35,1520410452,
zcash,Zcash,ZEC,23,368.271,0.0348426,65796200.0,1261671127.0,3425931.0,3425931.0,,0.17,-4.88,-8.76,1520410447,
icon,ICON,ICX,24,3.21221,0.00030391,30559300.0,1239805000.0,385966359.0,400230000.0,,-0.66,-9.23,-15.6,1520410455,
digixdao,DigixDAO,DGD,25,478.537,0.045275,60875900.0,957074000.0,2000000.0,2000000.0,,-1.51,-3.85,-10.32,1520410446,
binance-coin,Binance Coin,BNB,26,9.47011,0.00089598,45029300.0,937673472.0,99014000.0,197192382.0,,-0.02,-4.94,-11.88,1520410451,
steem,Steem,STEEM,27,3.0501,0.00028857,5445630.0,765846218.0,251088888.0,268062982.0,,-2.13,-10.84,-10.7,1520410446,
bytecoin-bcn,Bytecoin,BCN,28,0.00386045,0.00000037,3879800.0,709426339.0,183767783406,183767783406,184470000000,0.01,-7.87,-22.98,1520410742,
populous,Populous,PPT,29,19.0644,0.00180371,2218570.0,705459570.0,37004027.0,53252246.0,53252246.0,-0.56,-8.81,-9.51,1520410451,
stratis,Stratis,STRAT,30,7.12583,0.00067418,9931420.0,703797295.0,98767062.0,98767062.0,,-0.48,-10.09,-7.62,1520410447,
verge,Verge,XVG,31,0.0477094,0.00000451,14066300.0,700302841.0,14678508655.0,14678508655.0,16555000000.0,-0.35,-10.51,-18.55,1520410443,
waves,Waves,WAVES,32,5.95721,0.00056362,24739400.0,595721000.0,100000000.0,100000000.0,,0.29,-9.02,-9.69,1520410447,
rchain,RChain,RHOC,33,1.61919,0.00015319,997297.0,581951900.0,359409272.0,870663574.0,1000000000.0,-0.67,-6.86,-13.44,1520410453,
status,Status,SNT,34,0.165097,0.00001562,53898000.0,572966462.0,3470483788.0,6804870174.0,,0.71,-9.97,-3.46,1520410450,
maker,Maker,MKR,35,917.009,0.0867594,517994.0,566920429.0,618228.0,1000000.0,,-0.27,-5.02,-12.76,1520410448,
waltonchain,Waltonchain,WTC,36,22.1923,0.00209964,97772400.0,552547836.0,24898178.0,70000000.0,100000000.0,-2.42,6.26,0.88,1520410452,
siacoin,Siacoin,SC,37,0.0165438,0.00000157,8648300.0,544936366.0,32939008359.0,32939008359.0,,0.1,-15.19,-21.96,1520410445,
dogecoin,Dogecoin,DOGE,38,0.00443374,0.00000042,16075800.0,503179376.0,113488697114,113488697114,,0.22,-11.96,-28.72,1520410741,
bitshares,BitShares,BTS,39,0.189607,0.00001797,24097200.0,494893231.0,2610100000.0,2610100000.0,3600570502.0,2.35,-11.56,-14.34,1520410743,
decred,Decred,DCR,40,71.7359,0.00678703,1145400.0,493969816.0,6885950.0,7305950.0,21000000.0,-0.15,-9.61,-7.56,1520410445,
aeternity,Aeternity,AE,41,2.05747,0.00019466,3164030.0,479432631.0,233020472.0,273685830.0,,-0.59,-9.36,-16.54,1520410450,
augur,Augur,REP,42,42.4888,0.00401992,1631180.0,467376800.0,11000000.0,11000000.0,,0.06,-7.53,-11.99,1520410445,
veritaseum,Veritaseum,VERI,43,197.244,0.0186616,752560.0,401716093.0,2036645.0,100000000.0,,-2.92,-1.8,-16.71,1520410450,
0x,0x,ZRX,44,0.775731,0.00007339,6976760.0,400893427.0,516794387.0,1000000000.0,,-0.83,-10.96,-20.76,1520410453,
electroneum,Electroneum,ETN,45,0.0627165,0.00000593,2343630.0,398397058.0,6352348396.0,6352348396.0,21000000000.0,0.19,-12.05,-18.51,1520410455,
komodo,Komodo,KMD,46,3.72004,0.00035196,1461680.0,386337468.0,103853041.0,103853041.0,,-0.95,-12.92,-1.98,1520410448,
bytom,Bytom,BTM,47,0.390519,0.00003695,16173300.0,385442253.0,987000000.0,1407000000.0,,-1.28,-10.08,11.74,1520410452,
ardor,Ardor,ARDR,48,0.368318,0.00003485,2693210.0,367949496.0,998999495.0,998999495.0,998999495.0,-0.11,-7.95,-10.09,1520410447,
ark,Ark,ARK,49,3.62002,0.0003425,3151230.0,365885007.0,101072648.0,132322648.0,,-2.05,-11.6,-2.66,1520410448,
cryptonex,Cryptonex,CNX,50,7.40383,0.00070049,199660.0,334292568.0,45151303.0,106588928.0,210000000.0,0.24,-5.83,-3.08,1520410454,
dragonchain,Dragonchain,DRGN,51,1.3835,0.0001309,2634240.0,329856754.0,238421940.0,433494437.0,,-0.04,-13.07,4.13,1520410456,
syscoin,Syscoin,SYS,52,0.619239,0.00005870,1718040.0,329075613.0,531419392.0,531419392.0,888000000.0,0.35,-8.1,-4.82,1520410743,
basic-attention-token,Basic Attention Token,BAT,53,0.328787,0.00003111,3405140.0,328787000.0,1000000000.0,1500000000.0,,-0.03,-11.03,-9.06,1520410450,
golem-network-tokens,Golem,GNT,54,0.393722,0.00003725,6906020.0,328467303.0,834262000.0,1000000000.0,,-1.25,-14.73,9.81,1520410448,
hshare,Hshare,HSR,55,7.64493,0.0007233,28544000.0,326494121.0,42707274.0,42707274.0,84000000.0,0.28,-13.17,-23.15,1520410452,
gas,Gas,GAS,56,32.3488,0.00306056,4503680.0,319150567.0,9865917.0,15966720.0,100000000.0,0.42,-3.07,-21.16,1520410450,
ethos,Ethos,ETHOS,57,4.15468,0.00039308,3284980.0,314957853.0,75807969.0,222295208.0,,0.04,-6.52,2.06,1520410452,
digibyte,DigiByte,DGB,58,0.0309185,0.00000293,3255960.0,307256471.0,9937625404.0,9937625404.0,21000000000.0,0.62,-8.53,-12.59,1520410741,
kucoin-shares,KuCoin Shares,KCS,59,3.35512,0.00031743,1137910.0,305460445.0,91043076.0,181043076.0,,1.55,-8.84,-23.1,1520410454,
zilliqa,Zilliqa,ZIL,60,0.04635,0.00000439,15679300.0,305019814.0,6580794255.0,12600000000.0,,0.52,-10.76,-8.97,1520410459,
pivx,PIVX,PIVX,61,5.38891,0.00050985,2295750.0,300223301.0,55711322.0,55711322.0,,-0.39,-7.93,-4.19,1520410446,
monacoin,MonaCoin,MONA,62,4.82799,0.00045678,3010260.0,279505255.0,57892675.0,57892675.0,,-0.38,-8.83,-14.07,1520410441,
aion,Aion,AION,63,2.86941,0.00027148,2663650.0,275906118.0,96154303.0,465934587.0,,0.85,-9.0,-1.78,1520410455,
aelf,aelf,ELF,64,1.06049,0.00010033,15929900.0,265122500.0,250000000.0,280000000.0,1000000000.0,-1.6,-8.57,-9.2,1520410457,
byteball,Byteball Bytes,GBYTE,65,409.035,0.0386993,809765.0,263918402.0,645222.0,1000000.0,,1.27,-7.85,-0.65,1520410448,
factom,Factom,FCT,66,30.0674,0.00284472,1679580.0,262942480.0,8745102.0,8745102.0,,0.22,-9.59,-11.81,1520410445,
qash,QASH,QASH,67,0.741305,0.00007014,4268960.0,259456750.0,350000000.0,1000000000.0,,-0.72,-8.0,-10.93,1520410456,
loopring,Loopring,LRC,68,0.451335,0.00004270,2965760.0,256476368.0,568261642.0,1374956262.0,,-0.51,-12.93,-24.35,1520410453,
particl,Particl,PART,69,28.521,0.00269841,581626.0,253620177.0,8892401.0,8892401.0,,-0.27,-7.1,30.66,1520410451,
funfair,FunFair,FUN,70,0.0529748,0.00000501,2265320.0,243952911.0,4605074689.0,10999873621.0,,-0.83,-14.98,2.64,1520410450,
nebulas-token,Nebulas,NAS,71,6.68606,0.00063258,7778090.0,237355130.0,35500000.0,100000000.0,100000000.0,-0.93,-12.31,-20.9,1520410452,
kyber-network,Kyber Network,KNC,72,1.72301,0.00016302,6300040.0,231111978.0,134132697.0,215625349.0,,0.18,-11.42,-11.33,1520410453,
revain,Revain,R,73,1.23293,0.00011665,6186020.0,227413939.0,184450000.0,484450000.0,484450000.0,0.17,-12.23,-48.48,1520410455,
reddcoin,ReddCoin,RDD,74,0.00749536,0.00000071,5556180.0,215672626.0,28774151777.0,28774151777.0,,0.06,-12.15,-16.36,1520410741,
iconomi,Iconomi,ICN,75,2.15202,0.00020361,21594600.0,214633193.0,99735687.0,99735687.0,,-2.09,27.24,48.55,1520410447,
kin,Kin,KIN,76,0.000277613,0.00000003,279443.0,209902512.0,756097560976,10000000000000,,1.12,-1.94,-6.43,1520410453,
gxshares,GXShares,GXS,77,3.485,0.00032972,5821860.0,209100000.0,60000000.0,100000000.0,100000000.0,0.35,-6.52,-15.69,1520410451,
nexus,Nexus,NXS,78,3.64536,0.00034489,53250500.0,204142060.0,56000521.0,56000521.0,,3.05,12.4,105.51,1520410444,
zcoin,ZCoin,XZC,79,47.6773,0.00451082,4241150.0,202840774.0,4254452.0,4254452.0,21400000.0,0.8,-5.69,-9.35,1520410447,
iostoken,IOStoken,IOST,80,0.0293787,0.00000278,33519300.0,199602117.0,6794109922.0,21000000000.0,,-0.02,-13.91,-17.99,1520410458,
salt,SALT,SALT,81,3.67866,0.00034804,3779440.0,199477529.0,54225596.0,120000000.0,,-1.38,-10.11,-11.86,1520410453,
dent,Dent,DENT,82,0.0181669,0.00000172,2247380.0,192837301.0,10614760961.0,100000000000,,-1.19,-12.44,-29.94,1520410452,
neblio,Neblio,NEBL,83,14.7619,0.00139664,6949180.0,190146851.0,12880920.0,13631499.0,,-0.93,-12.76,-13.63,1520410453,
chainlink,ChainLink,LINK,84,0.542345,0.00005131,3599760.0,189820750.0,350000000.0,1000000000.0,,-1.05,-5.73,-24.11,1520410453,
blocknet,Blocknet,BLOCK,85,37.0993,0.00351657,1759560.0,187117196.0,5043685.0,5043685.0,,0.99,-7.75,11.64,1520410743,
polymath-network,Polymath,POLY,86,0.778824,0.00007369,1193210.0,186917565.0,239999750.0,1000000000.0,,-0.72,-5.09,-33.47,1520410459,
power-ledger,Power Ledger,POWR,87,0.499973,0.00004730,3861240.0,181956496.0,363932644.0,1000000000.0,,-0.17,-11.08,-15.23,1520410455,
dentacoin,Dentacoin,DCN,88,0.000554127,0.00000005,140174.0,180216847.0,325226613094,1963173416169,8000000000000,-2.99,-7.05,-25.51,1520410451,
bancor,Bancor,BNT,89,4.55654,0.0004311,5959950.0,179382060.0,39368042.0,74621946.0,,0.11,-6.01,-10.12,1520410450,
nxt,Nxt,NXT,90,0.177745,0.00001685,3353350.0,177567245.0,998999942.0,998999942.0,1000000000.0,0.4,-7.55,-14.03,1520410741,
tenx,TenX,PAY,91,1.62328,0.00015358,2496980.0,169894611.0,104661310.0,205218256.0,,-0.03,-7.76,2.16,1520410451,
cindicator,Cindicator,CND,92,0.113995,0.00001079,2055670.0,164834101.0,1445976590.0,2000000005.0,,0.72,-8.54,-14.14,1520410455,
maidsafecoin,MaidSafeCoin,MAID,93,0.364033,0.00003451,2747400.0,164744012.0,452552412.0,452552412.0,,1.89,-5.49,-3.67,1520410743,
request-network,Request Network,REQ,94,0.256704,0.00002429,2596330.0,164712965.0,641645496.0,999999999.0,,-0.82,-10.08,-13.81,1520410454,
