id,name,symbol,rank,price_usd,price_btc,24h_volume_usd,market_cap_usd,available_supply,total_supply,max_supply,percent_change_1h,percent_change_24h,percent_change_7d,last_updated
bitcoin,Bitcoin,BTC,1,9857.1,1.0,8389080000.0,166644004458,16905987.0,16905987.0,21000000.0,0.44,-8.41,-6.56,1520454866
ethereum,Ethereum,ETH,2,742.348,0.0759452,2092050000.0,72783728118.0,98045294.0,98045294.0,,0.28,-8.85,-14.37,1520454854
ripple,Ripple,XRP,3,0.853435,0.00008705,849617000.0,33362444071.0,39091956706.0,99992520283.0,100000000000,0.95,-9.05,-6.92,1520455141
bitcoin-cash,Bitcoin Cash,BCH,4,1086.19,0.111122,437239000.0,18470742414.0,17005075.0,17005075.0,21000000.0,0.09,-8.93,-11.06,1520454853
litecoin,Litecoin,LTC,5,181.568,0.0185752,723221000.0,10081868375.0,55526681.0,55526681.0,84000000.0,0.26,-7.39,-12.52,1520454840
neo,NEO,NEO,6,98.969,0.0101249,274239000.0,6432985000.0,65000000.0,100000000.0,100000000.0,1.95,-5.58,-26.59,1520454847
cardano,Cardano,ADA,7,0.247835,0.00002535,185761000.0,6425635527.0,25927070538.0,31112483745.0,45000000000.0,0.98,-14.08,-21.38,1520454854
stellar,Stellar,XLM,8,0.316713,0.00003230,60021500.0,5849180115.0,18468392882.0,103748462367,,-0.03,-7.7,-7.45,1520455143
monero,Monero,XMR,9,335.315,0.0342002,154697000.0,5297669913.0,15799084.0,15799084.0,,1.45,-2.84,15.59,1520455142
eos,EOS,EOS,10,6.44425,0.00065927,423112000.0,4602583354.0,714215518.0,900000000.0,1000000000.0,0.8,-10.97,-24.99,1520454851
iota,IOTA,MIOTA,11,1.47292,0.00015069,64283800.0,4094025744.0,2779530283.0,2779530283.0,2779530283.0,-0.98,-12.85,-22.31,1520454851
dash,Dash,DASH,12,510.438,0.0520616,111448000.0,4048965814.0,7932336.0,7932336.0,18900000.0,-0.0,-10.59,-14.03,1520455141
nem,NEM,XEM,13,0.302976,0.00003100,23637500.0,2726784000.0,8999999999.0,8999999999.0,,4.87,-10.11,-25.73,1520454844
tron,TRON,TRX,14,0.0378306,0.00000387,274433000.0,2487293570.0,65748192475.0,100000000000,,1.14,-13.84,-13.59,1520454853
tether,Tether,USDT,15,0.998389,0.00010214,2931450000.0,2213569000.0,2217140814.0,2280109970.0,,-0.36,-0.18,-0.17,1520454845
ethereum-classic,Ethereum Classic,ETC,16,21.989,0.00224956,402082000.0,2206569807.0,100348802.0,100348802.0,,1.74,-13.84,-35.12,1520454847
vechain,VeChain,VEN,17,4.01174,0.00041042,87091900.0,1906466258.0,475221788.0,873378637.0,,0.1,-13.97,-15.78,1520454853
nano,Nano,NANO,18,11.9438,0.00122189,59334200.0,1591490917.0,133248289.0,133248289.0,133248290.0,2.98,-8.19,-17.9,1520454849
qtum,Qtum,QTUM,19,21.3411,0.00218328,99060900.0,1577790717.0,73932024.0,100432024.0,,-0.18,-15.42,-19.73,1520454850
lisk,Lisk,LSK,20,15.3515,0.00157052,34071300.0,1574683028.0,102575190.0,118791836.0,,0.13,-7.53,-18.17,1520454846
bitcoin-gold,Bitcoin Gold,BTG,21,90.0864,0.0092162,28739600.0,1519432004.0,16866386.0,16966386.0,21000000.0,-0.01,-12.27,-21.33,1520454854
omisego,OmiseGO,OMG,22,14.2205,0.00145482,48261400.0,1451096107.0,102042552.0,140245398.0,,0.65,-9.53,-26.7,1520454851
zcash,Zcash,ZEC,23,342.182,0.0350066,55579500.0,1173553803.0,3429619.0,3429619.0,,0.1,-9.91,-12.13,1520454848
icon,ICON,ICX,24,2.94923,0.00030172,36129600.0,1138303566.0,385966359.0,400230000.0,,1.33,-12.37,-18.98,1520454855
binance-coin,Binance Coin,BNB,25,8.68023,0.00088802,74181600.0,859464293.0,99014000.0,197192382.0,,-0.03,-6.3,-17.84,1520454852
digixdao,DigixDAO,DGD,26,405.479,0.0414821,42604900.0,810958000.0,2000000.0,2000000.0,,-1.2,-16.97,-27.11,1520454846
steem,Steem,STEEM,27,2.78511,0.00028493,6525860.0,699571203.0,251182611.0,268156705.0,,-2.11,-14.29,-15.92,1520454846
bytecoin-bcn,Bytecoin,BCN,28,0.00345407,0.00000035,2920850.0,634750020.0,183768719347,183768719347,184470000000,0.49,-12.2,-26.01,1520455143
populous,Populous,PPT,29,17.0099,0.00174018,2442710.0,629434797.0,37004027.0,53252246.0,53252246.0,0.84,-15.21,-9.88,1520454852
stratis,Stratis,STRAT,30,6.24532,0.00063892,10733200.0,616836043.0,98767724.0,98767724.0,,-0.65,-13.48,-16.55,1520454847
waves,Waves,WAVES,31,6.10001,0.00062405,25172800.0,610001000.0,100000000.0,100000000.0,,2.27,-1.29,-4.75,1520454846
verge,Verge,XVG,32,0.0412602,0.00000422,22357900.0,605725484.0,14680624039.0,14680624039.0,16555000000.0,0.69,-16.22,-25.2,1520454844
status,Status,SNT,33,0.163752,0.00001675,51883000.0,568298661.0,3470483788.0,6804870174.0,,0.52,-7.37,-0.31,1520454852
maker,Maker,MKR,34,876.017,0.08962,769514.0,541578036.0,618228.0,1000000.0,,0.14,-7.75,-15.79,1520454848
rchain,RChain,RHOC,35,1.49319,0.00015276,826501.0,536666331.0,359409272.0,870663574.0,1000000000.0,0.17,-9.1,-16.88,1520454854
siacoin,Siacoin,SC,36,0.0152433,0.00000156,12110500.0,502229375.0,32947549089.0,32947549089.0,,0.3,-15.02,-22.8,1520454845
waltonchain,Waltonchain,WTC,37,18.5463,0.00189736,57358400.0,461769079.0,24898178.0,70000000.0,100000000.0,0.72,-22.62,-9.03,1520454854
dogecoin,Dogecoin,DOGE,38,0.00406384,0.00000041,16250400.0,461199907.0,113488697114,113488697114,,0.27,-12.02,-33.46,1520455141
bitshares,BitShares,BTS,39,0.175019,0.00001785,21402200.0,456825843.0,2610150000.0,2610150000.0,3600570502.0,-0.03,-10.74,-22.31,1520455143
aeternity,Aeternity,AE,40,1.8895,0.0001933,4043290.0,440292182.0,233020472.0,273685830.0,,0.55,-11.31,-17.81,1520454850
decred,Decred,DCR,41,62.2146,0.0063648,1623790.0,428590209.0,6888901.0,7308901.0,21000000.0,-3.87,-14.22,-17.3,1520454845
augur,Augur,REP,42,38.8174,0.00397117,2050760.0,426991400.0,11000000.0,11000000.0,,0.9,-10.65,-15.86,1520454845
bytom,Bytom,BTM,43,0.370309,0.00003788,14180900.0,365494983.0,987000000.0,1407000000.0,,0.6,-9.73,7.51,1520454852
0x,0x,ZRX,44,0.695343,0.00007114,7590090.0,359349359.0,516794387.0,1000000000.0,,-0.05,-11.86,-25.89,1520454853
komodo,Komodo,KMD,45,3.45869,0.00035384,1596260.0,359195611.0,103853081.0,103853081.0,,2.72,-11.07,-6.8,1520454849
veritaseum,Veritaseum,VERI,46,171.616,0.017557,998350.0,349520944.0,2036645.0,100000000.0,,-1.04,-7.91,-21.87,1520454850
electroneum,Electroneum,ETN,47,0.0548718,0.00000561,1665770.0,348837506.0,6357318434.0,6357318434.0,21000000000.0,0.13,-12.15,-22.41,1520454855
ardor,Ardor,ARDR,48,0.34466,0.00003526,3802160.0,344315166.0,998999495.0,998999495.0,998999495.0,-0.05,-9.95,-11.72,1520454847
ark,Ark,ARK,49,3.34582,0.00034229,2546020.0,338207303.0,101083532.0,132333532.0,,0.39,-10.48,-6.81,1520454849
cryptonex,Cryptonex,CNX,50,6.8498,0.00070076,189396.0,309282748.0,45152084.0,106589710.0,210000000.0,2.09,-8.44,-7.87,1520454854
golem-network-tokens,Golem,GNT,51,0.366343,0.00003748,6078380.0,305626044.0,834262000.0,1000000000.0,,1.83,-12.64,1.35,1520454848
syscoin,Syscoin,SYS,52,0.56895,0.00005803,6372340.0,302357705.0,531431066.0,531431066.0,888000000.0,0.37,-10.49,-10.38,1520455143
ethos,Ethos,ETHOS,53,3.90602,0.0003996,2836940.0,296107444.0,75807969.0,222295208.0,,2.11,-8.17,-2.45,1520454851
dragonchain,Dragonchain,DRGN,54,1.22645,0.00012547,2058010.0,292412588.0,238421940.0,433494437.0,,-0.26,-12.37,-3.2,1520454857
basic-attention-token,Basic Attention Token,BAT,55,0.288487,0.00002951,4729380.0,288487000.0,1000000000.0,1500000000.0,,0.8,-14.46,-16.78,1520454851
zilliqa,Zilliqa,ZIL,56,0.0420499,0.00000430,14404800.0,277753338.0,6605326966.0,12600000000.0,,4.2,-11.91,-14.85,1520454859
kucoin-shares,KuCoin Shares,KCS,57,3.0504,0.00031207,1092770.0,277717799.0,91043076.0,181043076.0,,-1.07,-6.11,-27.43,1520454857
pivx,PIVX,PIVX,58,4.94473,0.00050587,3316630.0,275493420.0,55714553.0,55714553.0,,0.48,-12.73,-9.72,1520454846
hshare,Hshare,HSR,59,6.39511,0.00065425,30110700.0,273130996.0,42709351.0,42709351.0,84000000.0,-0.58,-23.05,-31.97,1520454854
gas,Gas,GAS,60,27.181,0.00278072,7964080.0,267350895.0,9835948.0,15847360.0,100000000.0,0.84,-10.12,-30.8,1520454851
digibyte,DigiByte,DGB,61,0.0267283,0.00000273,3964010.0,265679110.0,9939992805.0,9939992805.0,21000000000.0,1.2,-13.64,-19.56,1520455141
monacoin,MonaCoin,MONA,62,4.31879,0.00044049,4299560.0,250079319.0,57904950.0,57904950.0,,-2.18,-14.06,-21.36,1520455142
aion,Aion,AION,63,2.55486,0.00026137,3895080.0,245660782.0,96154303.0,465934587.0,,1.01,-11.31,-10.11,1520454855
factom,Factom,FCT,64,27.2904,0.00279192,2204040.0,238657332.0,8745102.0,8745102.0,,0.08,-14.71,-14.98,1520454845
particl,Particl,PART,65,26.1508,0.00267533,623266.0,232543408.0,8892401.0,8892401.0,,2.07,-9.23,23.7,1520454852
qash,QASH,QASH,66,0.66083,0.00006761,5562840.0,231290500.0,350000000.0,1000000000.0,,-0.11,-14.34,-18.79,1520454856
byteball,Byteball Bytes,GBYTE,67,355.501,0.0363692,1043700.0,229377085.0,645222.0,1000000.0,,1.51,-15.07,-12.05,1520454849
loopring,Loopring,LRC,68,0.401842,0.00004111,2978050.0,228351395.0,568261642.0,1374956262.0,,0.16,-14.96,-29.19,1520454853
nebulas-token,Nebulas,NAS,69,6.32526,0.0006471,6435770.0,224546730.0,35500000.0,100000000.0,100000000.0,0.34,-12.28,-23.48,1520454853
funfair,FunFair,FUN,70,0.0475676,0.00000487,2947680.0,219052351.0,4605074689.0,10999873621.0,,1.49,-15.08,-7.47,1520454851
aelf,aelf,ELF,71,0.863023,0.00008829,15608600.0,215755750.0,250000000.0,280000000.0,1000000000.0,-2.73,-22.51,-23.07,1520454857
revain,Revain,R,72,1.08767,0.00011127,5230880.0,200620731.0,184450000.0,484450000.0,484450000.0,0.39,-16.91,-53.14,1520454858
reddcoin,ReddCoin,RDD,73,0.00695975,0.00000071,8167390.0,200260903.0,28774151777.0,28774151777.0,,1.55,-13.2,-20.3,1520455141
kyber-network,Kyber Network,KNC,74,1.49298,0.00015274,6878750.0,200257434.0,134132697.0,215625349.0,,1.61,-16.43,-17.19,1520454854
gxshares,GXShares,GXS,75,3.22287,0.00032971,5758720.0,193372200.0,60000000.0,100000000.0,100000000.0,0.31,-9.42,-20.22,1520454850
zcoin,ZCoin,XZC,76,44.6848,0.00457143,5098890.0,190285908.0,4258403.0,4258403.0,21400000.0,2.25,-10.49,-13.01,1520454847
nexus,Nexus,NXS,77,3.334,0.00034005,67342300.0,186738687.0,56010404.0,56010404.0,,0.89,6.72,92.82,1520455144
kin,Kin,KIN,78,0.000242865,0.00000002,353702.0,183629634.0,756097560976,10000000000000,,-3.93,-12.33,-16.31,1520454854
nxt,Nxt,NXT,79,0.180855,0.00001845,21136500.0,180674134.0,998999942.0,998999942.0,1000000000.0,1.18,-0.81,-6.55,1520455141
dent,Dent,DENT,80,0.0169879,0.00000174,3000610.0,180322498.0,10614760961.0,100000000000,,1.04,-10.29,-31.66,1520454852
salt,SALT,SALT,81,3.29652,0.00033725,4928880.0,178755760.0,54225596.0,120000000.0,,0.53,-14.87,-18.93,1520454856
blocknet,Blocknet,BLOCK,82,34.382,0.00350675,1318760.0,173436972.0,5044412.0,5044412.0,,-0.32,-11.43,-3.44,1520455143
iconomi,Iconomi,ICN,83,1.71801,0.00017576,23851100.0,171346907.0,99735687.0,99735687.0,,-0.71,-5.71,22.74,1520454848
chainlink,ChainLink,LINK,84,0.474399,0.00004853,4895660.0,166039650.0,350000000.0,1000000000.0,,1.44,-11.65,-30.46,1520454853
neblio,Neblio,NEBL,85,12.8331,0.00131288,6729630.0,165322465.0,12882504.0,13633233.0,,1.48,-15.11,-22.61,1520454853
power-ledger,Power Ledger,POWR,86,0.451548,0.00004620,4975870.0,164333057.0,363932644.0,1000000000.0,,0.9,-15.34,-20.57,1520454855
iostoken,IOStoken,IOST,87,0.0241103,0.00000247,32659500.0,163808028.0,6794109922.0,21000000000.0,,-0.55,-22.59,-30.1,1520454859
dentacoin,Dentacoin,DCN,88,0.000501242,0.00000005,160683.0,163017238.0,325226613094,1963173416169,8000000000000,0.36,-13.29,-25.79,1520454852
bancor,Bancor,BNT,89,4.15944,0.00042553,6586220.0,162622708.0,39097260.0,74351164.0,,0.22,-11.16,-15.25,1520454851
tenx,TenX,PAY,90,1.46399,0.00014977,2541210.0,153223111.0,104661310.0,205218256.0,,0.59,-14.54,-4.24,1520454851
maidsafecoin,MaidSafeCoin,MAID,91,0.336645,0.00003434,2854290.0,152349507.0,452552412.0,452552412.0,,0.95,-7.8,-13.83,1520455142
emercoin,Emercoin,EMC,92,3.6653,0.00037384,753499.0,151939582.0,41453519.0,41453519.0,,-0.34,-8.22,3.13,1520455143
enigma-project,Enigma,ENG,93,2.00704,0.00020533,4490190.0,150199189.0,74836171.0,150000000.0,,-0.44,-12.06,-21.26,1520454854
cindicator,Cindicator,CND,94,0.102767,0.00001051,3379790.0,148598676.0,1445976590.0,2000000005.0,,0.95,-10.74,-17.45,1520454857
polymath-network,Polymath,POLY,95,0.618724,0.00006330,1506310.0,148493605.0,239999750.0,1000000000.0,,0.89,-17.8,-45.29,1520454860
request-network,Request Network,REQ,96,0.230677,0.00002360,3076700.0,148012858.0,641645496.0,999999999.0,,-1.02,-12.44,-19.79,1520454855
pillar,Pillar,PLR,97,0.649875,0.00006648,459526.0,147771697.0,227384800.0,800000000.0,,-4.05,-9.33,-18.06,1520454852
sirin-labs-token,SIRIN LABS Token,SRN,98,0.615324,0.00006295,11929500.0,141067967.0,229258029.0,573145073.0,,4.95,-6.13,4.5,1520454857
singularitynet,SingularityNET,AGI,99,0.30286,0.00003098,514109.0,139980100.0,462194083.0,1000000000.0,,0.99,-9.76,-12.36,1520454859
smartcash,SmartCash,SMART,100,0.179949,0.00001841,151355.0,138627053.0,770368567.0,1371412846.0,5000000000.0,2.63,-17.76,-13.3,1520454852
genesis-vision,Genesis Vision,GVT,101,35.3552,0.00361698,15369000.0,131761084.0,3726781.0,4436644.0,,2.37,2.08,35.35,1520454856
gnosis-gno,Gnosis,GNO,102,119.223,0.012197,761002.0,131692534.0,1104590.0,10000000.0,,-0.17,-9.15,-9.96,1520454850
vertcoin,Vertcoin,VTC,103,3.00785,0.00030678,2656900.0,130043041.0,43234550.0,43234550.0,84000000.0,0.25,-8.15,-20.86,1520455141
gamecredits,GameCredits,GAME,104,1.99502,0.00020348,3261410.0,128390214.0,64355352.0,64355352.0,84000000.0,-1.31,-8.07,-10.31,1520455143
storj,Storj,STORJ,105,0.961118,0.00009833,9655160.0,128237643.0,133425493.0,424999998.0,,0.66,-12.57,7.02,1520454851
bitcore,Bitcore,BTX,106,9.95887,0.00101883,1100470.0,119923704.0,12041899.0,16841331.0,21000000.0,1.19,-3.41,-49.29,1520454850
bitcoindark,BitcoinDark,BTCD,107,92.1757,0.00940137,82663.4,118801774.0,1288862.0,1288862.0,,0.51,-6.53,-10.5,1520455143
quantstamp,Quantstamp,QSP,108,0.181615,0.00001858,3131980.0,112113513.0,617314171.0,976442388.0,,2.1,-8.75,-29.67,1520454856
